tsne1,tsne2
-78.986565,-23.201448
86.94468,-63.28461
-21.94838,-53.50246
-34.18492,-94.95878
7.529231,-25.09913
67.38242,47.106323
9.772533,-6.3334527
-21.393633,66.77884
55.630085,-22.673792
-62.771317,-10.14265
-12.254515,-56.320568
50.4233,-13.380051
-62.200706,35.48048
-46.781445,55.571724
-4.064556,-51.94159
90.02103,43.109547
101.57942,-53.87469
29.64036,-102.53813
-13.988227,-101.6291
5.6717763,48.90873
17.337873,107.64463
32.124268,-89.2012
-90.91402,0.046195433
26.99961,-42.37986
-42.444862,83.40379
71.00075,24.542496
35.05027,19.035921
8.707363,-54.824543
-94.18038,-51.39454
-66.43611,29.731787
35.087215,77.62713
-54.452847,72.86024
57.38983,-38.365856
77.42139,-24.949213
-79.92075,7.8144274
36.679493,36.75622
9.381674,-55.715515
-56.539207,87.27456
0.44780603,-16.49507
71.86911,2.308618
-35.349133,3.9873474
-22.521616,-13.380201
80.78627,-23.838541
-36.8809,105.03098
15.195848,2.5415225
-29.974213,-84.64224
78.78801,-3.035294
6.303173,-92.031715
46.66298,84.80321
98.64603,-26.66251
-50.943207,105.30337
-37.946724,-104.38956
46.766838,-90.619934
-31.797556,42.888294
1.3719505,29.81965
-56.534626,92.60541
7.4552746,-87.933685
56.790173,69.59931
-78.62785,-25.497864
4.959758,-62.771744
-27.615858,-80.83182
-42.88584,54.199886
-47.712696,-28.005165
-19.690987,-47.694954
-2.0367458,68.3499
-14.301861,-101.109276
-29.321768,84.97378
-78.58836,30.775932
16.183016,-99.58093
-1.799166,-49.0895
80.09684,-73.1001
40.38912,-92.91549
-91.173805,-38.95247
-85.45706,-47.382965
-79.03205,-23.056719
47.105316,-102.967
37.742725,-47.222805
2.027441,-64.45555
-14.172724,-104.9157
-31.68287,-12.123228
-4.7937765,57.087425
17.112148,-98.37277
-6.5549345,91.89606
78.76858,0.08184891
-1.896598,-59.973335
-34.344513,0.7106353
-33.13795,98.01192
-41.341293,-59.597866
-92.7765,-35.2085
-25.123892,-28.765417
-115.963554,1.4982319
81.22551,-51.42379
61.450516,-36.771687
-82.14133,-14.187989
9.431035,42.88624
8.519667,-14.337292
19.283928,73.98775
-32.546024,39.774643
51.701637,56.76449
9.329618,-11.701659
115.07921,11.978497
-31.821888,17.522045
37.368027,-113.391396
-57.116974,71.426544
79.93614,-53.375874
-43.8239,-17.24241
21.25801,97.71206
-102.53291,-35.731953
36.577976,-17.478323
1.4346347,27.339739
85.06441,-28.489082
-60.384087,-69.86367
-5.3379474,-52.996292
-88.35501,47.910576
-18.160614,-98.64617
-53.802616,-34.53735
80.102234,39.760998
-65.278244,32.655746
-47.748405,-39.30841
48.238426,-23.338863
-48.432808,66.39156
-6.8741164,80.34863
-29.420006,-93.52796
-5.789035,-35.26619
45.733055,-27.049402
-46.981743,-28.667805
-27.360508,41.24701
11.763957,-42.850845
-66.259636,13.9455805
-81.24199,-13.466082
39.57467,68.23978
-46.46473,-95.72609
34.791283,-2.8136258
-43.753395,-42.47595
27.766224,42.986336
2.9779325,-15.550641
-9.753321,-38.141834
80.689026,-6.4561076
71.201706,24.810623
-2.0213656,-2.029712
62.575016,21.716673
48.205112,-23.137268
5.425968,-13.780385
12.938736,73.7185
110.490326,-33.196606
-17.062628,-111.041214
-7.0372195,115.448746
-27.622765,-81.18332
-7.96385,-10.046984
62.345432,17.590908
-37.664093,-93.118195
2.655007,52.35571
11.399331,-5.8297405
-102.5858,-35.877476
-6.8064013,36.19759
-56.625687,-13.566386
-33.566124,60.167904
4.9328604,-13.736905
72.976234,9.399588
-90.12917,17.367197
-0.14032292,62.829136
-55.9768,4.58535
-51.143612,103.31137
-48.67576,-28.432634
-34.940796,-18.267078
-87.5871,-34.494957
-88.63706,-48.154263
-0.9787077,-1.0949379
4.7988844,36.84623
20.45159,-88.151596
52.494064,-44.609486
45.701027,-26.99057
1.777878,-56.308598
-3.3590426,-93.752464
47.569866,-27.706144
-44.632244,10.748268
-85.29795,-26.086197
-22.325548,-48.505386
-48.165985,-58.697464
12.301407,-23.140196
-45.025284,-21.956776
-30.2434,25.267754
-80.990036,-15.88508
43.14469,-74.61716
-26.66016,-54.5121
1.5074661,-56.4646
-6.975761,108.01636
-40.83152,111.610374
19.30262,-86.9732
-12.287799,-122.04608
52.73657,3.2704067
13.41053,25.788723
-45.46992,-20.932085
4.0401998,63.353836
-30.587612,60.214222
30.38587,20.757664
75.38142,-73.13775
-75.07818,14.440912
30.908155,108.23485
-78.27049,31.160946
25.29646,90.01168
-82.68948,29.503096
9.050891,37.105835
38.559612,-48.271957
-105.63193,-29.825539
1.1526998,30.4818
-81.56847,-24.737585
27.370594,93.65164
100.66149,-2.4024193
-49.650406,19.856813
-42.23284,54.25279
3.4059935,109.602394
57.026405,6.411261
62.19343,67.712776
27.230925,45.172173
18.283272,72.62065
-45.46881,91.060265
-46.808315,24.157427
12.314816,2.4005039
83.857666,54.32972
30.792324,72.91177
7.3697085,-115.924034
18.63177,-87.03783
-36.29542,57.738773
37.386353,-89.82488
-62.66895,-0.55874616
-58.556625,73.622665
8.1822605,-9.100238
-47.581505,-28.007664
-47.37673,-27.343058
-37.134342,1.1204962
14.565078,-39.507397
56.579002,-91.843124
21.84117,-19.70191
17.857685,-92.500496
-1.1435517,82.90647
43.534084,34.281105
34.55651,-99.15802
45.866135,-36.15442
36.449944,40.56548
15.24339,74.51873
-35.54353,-26.254608
-35.30999,17.605951
-58.017017,83.45831
-74.069786,36.956924
15.075946,2.1672192
-23.018183,-46.758366
17.904682,72.35062
77.07469,45.936134
-11.472683,92.19016
85.83562,0.58337724
-50.724728,-61.19032
-10.221223,104.344696
26.027565,-20.889969
-7.021667,44.57097
-99.33889,-10.368889
-61.250484,-61.379932
-23.68122,51.403664
54.47772,13.822267
20.450775,-64.79702
16.001694,25.835564
-51.144135,115.40107
4.670506,1.3966318
-91.30554,47.878807
47.053097,95.99906
-44.196804,-54.13895
-74.93168,41.363724
-7.228442,90.509705
-46.25898,-44.3191
-1.7920088,-87.81424
13.321431,-53.083515
101.44895,-53.91571
108.92986,-42.249252
-67.23131,98.151695
33.426258,-54.197308
-39.851486,9.756073
24.57292,78.27674
54.207127,92.756256
8.812701,-22.595034
-12.17234,-4.4652658
-0.86159086,-70.79866
45.55889,-83.68081
16.280628,109.59647
54.281715,-24.875103
8.367879,-90.73204
74.162506,-20.01139
-0.36291513,-24.389624
-27.045135,45.937218
-52.745815,-25.65707
7.059443,35.49364
41.760326,82.775925
-37.206387,33.427105
-72.1088,15.080295
32.557972,-48.331722
69.816666,71.68309
85.23343,9.693613
101.34448,-27.55431
101.36867,13.606708
-36.17084,-90.08236
-0.65841055,-85.97993
80.05549,-54.508934
-47.056877,-28.782915
-101.04383,-36.706707
-24.917707,40.351784
-1.7270349,-5.727455
-47.84406,-77.341095
-84.6952,-42.309837
-0.82030576,-106.3756
41.14327,-91.57184
58.304985,5.8105383
-57.816936,80.19347
-16.379986,-25.12049
-103.21192,-25.397741
100.78329,-28.038374
-11.356693,-40.863197
33.33933,-54.2116
4.278234,33.47775
57.697025,18.348696
62.105415,68.19985
-57.38273,70.48153
-48.35261,35.722965
-19.459848,-17.373726
-101.36967,-36.04461
37.356945,21.372444
-46.33463,56.115707
1.3709474,-92.92258
-0.9565264,-57.708714
-33.817368,-12.332846
-114.95601,-1.5041833
-92.5716,14.095211
-61.91096,56.15219
-14.178122,-115.44382
1.9885435,-72.132225
67.14333,-57.827267
61.39278,21.57441
-45.122604,-53.55844
14.734247,-20.260746
84.93869,18.161129
-74.19406,-31.678862
-86.68266,-0.24660674
-23.763449,81.737915
30.835238,108.350815
-61.728794,-60.971317
-95.69764,-9.364124
-56.62831,-14.166542
-50.42545,67.61968
4.525978,31.71541
7.641885,-92.80772
-1.1935272,-48.743748
76.41312,53.67355
78.5039,-56.630226
43.37525,82.13693
-48.250248,51.089096
-70.42229,15.482369
14.599798,-8.398627
-51.421173,-28.83278
-24.770931,-20.640816
79.11834,-24.093006
-45.194748,-53.411255
-74.35746,-31.24126
