umap1,umap2
11.557304,6.211287
12.190492,6.7676396
12.178626,6.775147
11.537836,6.222257
11.667396,5.972503
11.694812,5.9755216
11.511163,6.202079
11.623665,5.908337
11.680218,5.96696
11.719394,6.2730556
11.836799,6.3973646
11.518694,6.181705
11.650343,6.2221727
11.676609,6.2336287
12.171566,6.8000917
12.191801,6.5581756
11.741192,6.353777
11.779468,6.311756
12.014024,6.5802693
11.503405,6.175562
12.176504,6.536741
11.715916,6.2543125
11.7519,6.3169923
11.866206,6.4507957
11.555873,6.2334657
11.732987,6.25512
11.678557,5.9818974
12.138878,6.7487717
12.122589,6.516399
11.779735,6.3136225
11.757654,6.542913
12.06679,6.767299
11.811857,6.347196
11.638041,6.3812723
11.976848,6.7017817
12.398093,6.4511557
11.607517,6.263677
11.707216,6.2639065
11.726191,6.0145903
12.159101,6.5555925
11.623005,6.3623056
11.476907,6.226835
11.688203,6.0204864
12.08331,6.8170376
11.82234,6.269808
11.578423,6.264971
11.651715,6.0419035
12.079986,6.8360558
11.58275,6.2652473
11.725327,6.0296035
11.523512,6.2253838
12.025631,6.776353
11.725105,6.0087934
11.837368,6.5473256
11.873374,6.374913
12.103918,6.804968
11.664081,6.221191
12.246443,6.5390944
12.159444,6.517095
12.182796,6.50612
11.581166,6.2127953
11.548341,6.2402644
12.162945,6.7925897
12.080437,6.824902
11.551949,6.263913
12.158283,6.7737255
11.611225,6.248146
12.222009,6.589348
12.169456,6.518248
11.595513,6.210745
11.773555,5.896755
11.743513,6.2452817
12.159577,6.7932777
11.727787,5.9476924
11.711107,5.9879785
11.73671,6.297309
12.277037,6.498324
11.683089,5.9763765
11.638668,6.01766
12.208267,6.5325227
11.751375,6.4729714
11.548713,6.227532
11.577994,6.2291493
12.188463,6.568026
12.173913,6.781417
11.552527,6.181515
11.562045,6.283669
11.682647,6.024324
12.174898,6.7994866
12.18655,6.807287
11.583184,6.225611
11.89927,6.4369097
11.674187,6.0540133
11.561733,6.226732
11.563541,6.2252684
11.7817135,6.342027
11.943653,6.4926715
11.933949,6.480713
11.593533,6.21503
11.6526165,6.097298
11.691906,5.959138
12.135367,6.4321394
11.533337,6.216869
11.643147,5.9960475
11.9425745,6.4650173
12.115748,6.432727
11.8090925,6.3519745
11.923445,6.4627557
11.856935,6.4084554
11.891496,6.443355
11.56128,6.2232633
12.155487,6.780556
11.549355,6.2113857
12.168001,6.775689
11.654412,6.0065994
12.188047,6.560545
12.169095,6.788631
11.678435,6.121027
11.680997,6.103404
12.174926,6.8082047
11.566323,6.1708584
11.72487,6.1620235
11.6352005,6.137487
11.59553,6.188296
11.614412,6.234333
11.609665,6.1585245
11.5935755,6.1278486
11.691171,6.1118574
11.616489,6.0902786
11.718426,6.2434297
12.047699,6.431424
11.687893,6.1278133
12.180134,6.7729273
12.165775,6.782425
11.703618,6.1926236
11.787197,6.3740478
11.729243,6.2263885
11.697229,6.1484537
11.847583,6.5188155
11.640893,6.1677895
11.668691,6.161892
12.199788,6.141195
11.581846,6.0843105
11.551831,6.0959163
12.143412,6.492625
11.872555,6.27393
11.859248,6.2839494
11.66214,6.142872
11.823937,6.2639275
11.637606,6.1676464
11.70393,6.135395
11.71581,6.1260214
12.11719,6.5242405
11.629876,6.145529
11.715354,6.128485
11.890123,6.4630804
11.633538,6.17205
12.004595,6.426847
11.986332,6.108901
11.925372,6.226873
11.700201,6.1134496
11.667882,6.157873
11.715849,6.130347
11.830362,6.2652593
17.99554,3.8377848
18.00914,3.8509493
11.730109,6.0956984
11.707825,6.0702987
11.914347,6.250213
12.12182,6.4649887
12.194188,6.160081
12.137446,6.430876
11.679203,6.140072
12.109405,6.4623485
11.994068,6.2181773
11.7267275,6.133637
12.12056,6.473883
12.10235,6.4183855
11.696429,6.1306367
12.133611,6.234444
11.766406,6.0848994
11.725474,6.119957
11.953048,6.5118833
12.129873,6.2903013
11.862308,6.2937007
12.112464,6.402161
12.178491,6.7363734
11.711495,6.074293
12.119663,6.2165604
12.103086,6.436653
11.714565,6.0476537
11.632412,6.0016913
11.805765,6.0489683
11.755081,6.124088
11.897821,6.2535157
11.749495,6.115143
11.678076,6.1018806
11.790279,6.181014
11.66154,6.0406113
12.077883,6.397124
11.7140255,6.14532
11.757732,6.1133757
11.985146,6.4221535
12.019913,6.4600315
12.1852,6.414238
12.188014,6.228153
11.936006,6.435782
12.207954,6.75706
11.709735,6.089079
11.740766,6.715838
11.906443,6.1401563
11.758788,6.051413
12.106016,6.4232574
11.7259,6.047827
11.829079,6.228
11.866625,6.20968
11.981182,6.4149933
12.00814,6.236041
11.9619875,6.2437835
11.688837,6.066984
12.240731,6.687065
11.6050825,6.0674477
11.699099,6.0685644
11.949478,6.2662206
12.076359,6.2156835
11.769696,6.095297
12.116028,6.42449
12.074129,6.238591
12.013982,6.2677183
11.716769,6.0638223
11.794537,6.071621
11.676693,6.2002125
11.958751,6.4568844
11.794294,6.0910645
11.777495,6.091283
11.693708,6.060436
11.805036,6.085134
11.718733,6.051015
11.674014,6.048086
11.581141,5.977258
11.726554,6.046417
12.03035,6.220888
12.029776,6.2810717
12.119938,6.3702674
11.875508,6.201848
11.791768,6.0926623
11.918793,6.4263897
12.034942,6.3508263
11.779615,6.098936
11.699468,6.037292
11.712892,6.0286884
11.708653,6.0505447
11.727847,6.0329814
11.915064,6.070139
11.640206,5.957752
11.733463,6.0318933
12.217317,6.722517
12.10214,6.2246447
12.177994,6.4121656
